127.0.0.1 - - [07/Jul/2020:20:55:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2020:20:59:38 +0900] "GET /BBS/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:00:03 +0900] "GET /BBS/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:00:04 +0900] "GET /BBS/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:00:05 +0900] "GET /BBS/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:00:35 +0900] "GET /BBS/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:02:19 +0900] "GET /BBS/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:26:04 +0900] "GET /BBS/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:26:05 +0900] "GET /BBS/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:26:06 +0900] "GET /BBS/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:26:07 +0900] "GET /BBS/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jul/2020:21:26:08 +0900] "GET /BBS/ HTTP/1.1" 200 315
