127.0.0.1 - - [07/Aug/2020:18:37:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Aug/2020:18:37:58 +0900] "GET /BBS/view.jsp HTTP/1.1" 500 93
0:0:0:0:0:0:0:1 - - [07/Aug/2020:18:38:05 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [07/Aug/2020:18:38:06 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:18:38:06 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:18:38:19 +0900] "GET /BBS/view.jsp HTTP/1.1" 500 93
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:33:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:33:57 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:33:57 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:00 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:02 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3377
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:02 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:02 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:06 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:06 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:07 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:07 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:08 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:09 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:11 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:46 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:47 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:47 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:47 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:37:01 +0900] "GET /BBS/view.jsp HTTP/1.1" 500 93
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:37:04 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2313
